City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bridgetown,BB,2022-04-06 23:06:53,13.1,-59.6167,79.29,73,20,18.41
68,Akyab,MM,2022-04-06 23:11:13,20.15,92.9,76.28,87,39,5.84
69,Longyearbyen,SJ,2022-04-06 23:11:13,78.2186,15.6401,12.04,67,0,14.97
70,Dikson,RU,2022-04-06 23:11:13,73.5069,80.5464,-1.53,98,99,15.23
71,Jacareacanga,BR,2022-04-06 23:11:14,-6.2222,-57.7528,75.29,94,74,1.19
72,Hambantota,LK,2022-04-06 23:11:14,6.1241,81.1185,77.31,76,100,1.95
73,Santa Cruz,BO,2022-04-06 23:11:15,-17.8,-63.1667,84.25,65,40,9.22
74,Saint-Michel-Des-Saints,CA,2022-04-06 23:07:07,46.6834,-73.9159,36.52,90,32,4.32
75,Cabra,ES,2022-04-06 23:11:16,37.4725,-4.4421,42.19,81,4,2.62
76,Lorengau,PG,2022-04-06 23:11:16,-2.0226,147.2712,79.02,89,100,9.86
77,Tuktoyaktuk,CA,2022-04-06 23:11:16,69.4541,-133.0374,20.64,86,100,9.86
78,Georgetown,MY,2022-04-06 23:08:06,5.4112,100.3354,76.95,88,20,0.0
79,Kalabo,ZM,2022-04-06 23:11:17,-14.97,22.6814,68.0,89,87,5.77
80,Andenes,NO,2022-04-06 23:11:17,69.3143,16.1194,33.78,69,100,13.8
81,Talnakh,RU,2022-04-06 23:11:18,69.4865,88.3972,19.98,95,99,5.59
82,Hithadhoo,MV,2022-04-06 23:11:18,-0.6,73.0833,81.64,68,0,1.25
83,Sola,VU,2022-04-06 23:11:20,-13.8833,167.55,83.28,73,100,14.41
84,Guerrero Negro,MX,2022-04-06 23:11:20,27.9769,-114.0611,73.56,44,0,14.47
85,Carnarvon,AU,2022-04-06 23:11:20,-24.8667,113.6333,71.67,94,5,5.75
86,Ilulissat,GL,2022-04-06 23:11:21,69.2167,-51.1,24.82,86,100,3.44
87,Vung Tau,VN,2022-04-06 23:09:53,10.346,107.0843,79.07,81,99,5.73
88,Vardo,NO,2022-04-06 23:09:23,70.3705,31.1107,32.52,82,100,21.99
89,Severo-Kurilsk,RU,2022-04-06 23:11:22,50.6789,156.125,35.11,91,99,14.47
90,Port Elizabeth,ZA,2022-04-06 23:10:06,-33.918,25.5701,59.09,85,34,10.0
91,Yanam,IN,2022-04-06 23:12:22,16.7333,82.2167,74.34,93,79,0.85
92,Lubao,PH,2022-04-06 23:12:22,14.9167,120.55,78.98,75,99,4.41
93,Dingle,PH,2022-04-06 23:12:23,10.9995,122.6711,76.1,90,100,6.2
94,Saint-Philippe,RE,2022-04-06 23:12:23,-21.3585,55.7679,78.39,80,90,10.8
95,Meulaboh,ID,2022-04-06 23:12:23,4.1363,96.1285,77.49,85,100,3.42
96,Tura,IN,2022-04-06 23:08:57,25.5198,90.2201,69.31,90,40,3.83
97,Ambilobe,MG,2022-04-06 23:12:24,-13.2,49.05,73.6,96,77,2.35
98,Fuerte Olimpo,PY,2022-04-06 23:12:25,-21.0415,-57.8738,85.95,47,69,6.89
99,Grand Gaube,MU,2022-04-06 23:11:20,-20.0064,57.6608,74.37,85,57,1.99
100,Cabot,US,2022-04-06 23:08:59,34.9745,-92.0165,69.71,30,0,10.36
101,Lompoc,US,2022-04-06 23:10:41,34.6391,-120.4579,94.78,29,0,4.0
102,Kungurtug,RU,2022-04-06 23:12:26,50.5994,97.5228,28.38,84,21,2.73
103,Aitape,PG,2022-04-06 23:12:26,-3.1374,142.3475,79.57,85,100,3.6
