City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Carutapera,BR,-1.195,-46.02,77.38,89,100,6.64,light rain
79,Hylkje,NO,60.5103,5.3544,37.76,81,100,1.01,overcast clouds
80,Cabinda,AO,-5.55,12.2,77.38,88,97,4.97,overcast clouds
81,Balikpapan,ID,-1.2675,116.8289,81.59,89,20,8.05,few clouds
82,Karasjok,NO,69.4719,25.5112,29.01,94,97,11.81,overcast clouds
83,Palmer,US,42.1584,-72.3287,55.81,35,20,6.91,few clouds
84,Shingu,JP,33.7333,135.9833,69.17,62,54,2.28,broken clouds
85,Carnarvon,AU,-24.8667,113.6333,66.27,63,15,12.66,few clouds
86,Luderitz,NA,-26.6481,15.1594,68.07,54,0,3.51,clear sky
87,Nikolskoye,RU,59.7035,30.7861,35.8,94,35,2.84,scattered clouds
88,Mahebourg,MU,-20.4081,57.7,75.49,83,40,8.05,scattered clouds
89,Alta Floresta,BR,-9.8756,-56.0861,73.94,89,19,1.32,few clouds
90,Stanislav,UA,46.5691,32.1478,41.79,86,100,24.23,overcast clouds
91,Tecoanapa,MX,16.5167,-98.75,83.39,66,63,8.68,broken clouds
92,Busselton,AU,-33.65,115.3333,60.58,79,0,11.43,clear sky
93,Motygino,RU,58.1831,94.7592,21.54,94,100,1.79,overcast clouds
94,Nova Olinda Do Norte,BR,-3.8881,-59.0942,74.84,97,85,1.95,overcast clouds
95,Rafai,CF,4.95,23.9167,70.36,75,63,2.93,broken clouds
96,Avarua,CK,-21.2078,-159.775,82.45,78,20,2.3,few clouds
97,Along,IN,28.1667,94.7667,64.38,92,14,1.21,few clouds
98,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,80,75,14.97,broken clouds
99,Marabba,SD,12.35,32.1833,85.33,48,42,10.38,scattered clouds
100,Kendari,ID,-3.945,122.4989,79.88,79,98,4.0,overcast clouds
101,Puerto Escondido,MX,15.85,-97.0667,85.03,70,75,4.61,broken clouds
102,Berlin,DE,52.5244,13.4105,44.98,69,0,5.01,clear sky
103,Itarema,BR,-2.9248,-39.9167,78.19,84,78,9.66,broken clouds
104,Olinda,BR,-8.0089,-34.8553,82.13,69,20,3.44,few clouds
105,Kodiak,US,57.79,-152.4072,51.31,25,0,12.66,clear sky
106,Gimbi,ET,9.1667,35.8333,58.08,82,68,4.34,light rain
107,Lebu,CL,-37.6167,-73.65,51.94,85,95,4.03,overcast clouds
108,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,16.11,clear sky
109,Atar,MR,20.5169,-13.0499,80.22,13,96,6.53,overcast clouds
110,Luanda,AO,-8.8368,13.2343,78.8,89,75,6.91,broken clouds
111,Fayaoue,NC,-20.65,166.5333,80.08,73,1,6.22,clear sky
112,Saint-Denis,FR,48.9167,2.3333,58.78,72,0,11.5,clear sky
113,Bethel,US,41.3712,-73.414,54.36,57,96,5.99,overcast clouds
114,San Andres,CO,12.5847,-81.7006,80.62,83,40,11.5,scattered clouds
115,Padang,ID,-0.9492,100.3543,75.25,84,99,3.29,overcast clouds
116,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,95,15.9,light rain
117,Domoni,KM,-12.2569,44.5319,79.45,82,93,2.98,light rain
118,Byron Bay,AU,-28.65,153.6167,77.7,71,24,13.27,few clouds
119,Lysva,RU,58.1086,57.8053,31.84,97,27,4.03,scattered clouds
120,Hasaki,JP,35.7333,140.8333,72.28,76,88,11.68,overcast clouds
121,Banjar,ID,-8.19,114.9675,80.65,70,35,3.67,scattered clouds
122,Dunedin,NZ,-45.8742,170.5036,54.81,71,100,5.99,overcast clouds
123,East London,ZA,-33.0153,27.9116,66.02,87,100,6.78,light rain
124,Lulea,SE,65.5842,22.1547,28.47,80,65,3.44,broken clouds
125,Karachi,PK,24.9056,67.0822,76.82,83,40,6.91,scattered clouds
126,Havelock,US,34.8791,-76.9013,66.18,79,0,11.5,clear sky
127,Agirish,RU,61.9247,63.0231,32.85,96,49,7.23,scattered clouds
128,Ballina,AU,-28.8667,153.5667,77.77,82,22,13.98,few clouds
129,Pangnirtung,CA,66.1451,-65.7125,11.86,90,15,6.35,few clouds
130,Nokaneng,BW,-19.6667,22.2667,73.33,58,92,3.8,overcast clouds
131,Purpe,RU,64.4803,76.6897,33.37,99,100,9.15,overcast clouds
132,Palora,EC,-1.7,-77.9333,66.79,97,93,1.99,light rain
133,Hilpoltstein,DE,49.19,11.1886,38.32,90,92,4.5,overcast clouds
134,Vilyuysk,RU,63.7553,121.6247,14.25,96,100,3.0,overcast clouds
135,Saint Anthony,US,45.0205,-93.218,56.66,39,0,13.8,clear sky
136,Japura,ID,-0.3167,102.35,75.04,97,95,0.87,overcast clouds
137,Chokurdakh,RU,70.6333,147.9167,7.03,88,100,12.26,overcast clouds
138,Ponta Do Sol,PT,32.6667,-17.1,60.71,73,90,12.01,overcast clouds
139,Muisne,EC,0.6,-80.0333,76.64,89,95,5.66,overcast clouds
140,Laje,BR,-10.1833,-40.9667,76.21,59,51,0.81,light rain
141,Kollegal,IN,12.15,77.1167,73.17,77,88,1.9,overcast clouds
142,Murgab,TM,37.4966,61.9714,57.07,77,0,0.0,clear sky
143,Quatre Cocos,MU,-20.2078,57.7625,74.08,72,53,17.31,broken clouds
144,Husavik,IS,66.0449,-17.3389,29.35,93,100,6.91,overcast clouds
145,Ginir,ET,7.1333,40.7,59.41,78,73,4.68,broken clouds
146,Thompson,CA,55.7435,-97.8558,30.36,64,100,9.22,overcast clouds
147,Zelenoborskiy,RU,66.845,32.3622,32.74,87,91,11.86,overcast clouds
148,Katsuura,JP,35.1333,140.3,65.97,80,85,11.65,overcast clouds
149,Sabang,ID,5.8933,95.3214,82.15,75,69,8.41,broken clouds
150,Yerbogachen,RU,61.2767,108.0108,21.4,89,61,1.52,broken clouds
151,Guerrero Negro,MX,27.9769,-114.0611,65.28,60,0,14.79,clear sky
152,Zarubino,RU,42.63,131.0922,46.4,94,100,7.09,light rain
153,Antalaha,MG,-14.9003,50.2788,74.79,85,69,9.26,light rain
154,Yatou,CN,37.15,122.3833,51.96,95,98,17.16,light rain
155,Tamiahua,MX,21.2667,-97.45,78.66,73,5,16.42,clear sky
156,Nisia Floresta,BR,-6.0911,-35.2086,80.98,83,85,5.59,light rain
157,Dingle,PH,10.9995,122.6711,73.87,96,100,7.78,light rain
158,Esperance,AU,-33.8667,121.9,64.24,84,60,16.15,broken clouds
159,Mokhsogollokh,RU,61.4681,128.9203,19.44,87,100,3.98,overcast clouds
160,Gamba,GA,-2.65,10.0,77.13,91,100,3.4,overcast clouds
161,Vardo,NO,70.3705,31.1107,33.15,98,100,11.39,light snow
